0.04,-0.328,-0.289,0.470778,0.691406,-0.076466,-1.11046,0.358613,-0.466917,-0.408833
-0.0848322,-0.509854,0.956552,1.50679,1.31486,-0.995546,0.462949,1.04953,-0.409,0.456
0.320289,0.496,1.68374,1.36316,-0.443006,-1.14146,0.399186,1.08176,0.7221,0.314
-0.066,-0.712478,0.757998,0.382895,-2.28765,-2.70394,0.212519,2.0087,1.24006,0.239
-0.274,-0.829746,0.0709415,-0.821457,-2.63994,-3.00994,-0.418505,1.4987,0.876147,-0.214
0.365,0.353506,1.05948,-0.727277,-3.00994,-2.62594,0.0946173,1.50238,1.06106,0.086
-0.214855,0.0764592,1.33314,0.461021,-2.60394,-2.83694,0.440046,1.55802,1.19657,0.118
0.346,0.421,1.61641,1.04122,-2.26594,-1.89144,0.125474,1.30877,0.769641,0.243
-0.273,0.359,1.53918,0.934536,-1.38342,-0.91492,0.600381,0.284187,-0.265,0.373419
-0.345917,0.417573,0.439488,0.63799,0.785743,-0.698332,-0.866132,-1.24011,-0.0340151,0.417
