0.839,0.821,0.79,0.687,0.521,0.384,0.275,0.213,0.184,0.154
0.868,0.857,0.835,0.739,0.618,0.466,0.325,0.27,0.212,0.151
0.87,0.858,0.832,0.76,0.606,0.47,0.369,0.282,0.215,0.134
0.864,0.851,0.812,0.758,0.601,0.44,0.328,0.268,0.187,0.127
0.87,0.855,0.83,0.762,0.576,0.436,0.336,0.27,0.212,0.157
0.865,0.856,0.826,0.762,0.587,0.427,0.315,0.234,0.16,0.097
0.866,0.847,0.82,0.761,0.589,0.441,0.316,0.248,0.192,0.129
0.864,0.853,0.811,0.74,0.558,0.38,0.28,0.204,0.147,0.097
0.862,0.848,0.812,0.767,0.628,0.427,0.314,0.227,0.175,0.109
0.862,0.845,0.81,0.762,0.613,0.426,0.292,0.196,0.123,0.087
