0.000,0.000,0.000,0.333,0.722,0.773,0.431,0.027,0.000,0.000
0.000,0.008,0.000,0.275,0.659,0.941,0.639,0.239,0.000,0.000
0.016,0.000,0.000,0.322,0.816,1.000,0.651,0.204,0.000,0.000
0.000,0.098,0.314,0.659,0.988,1.000,0.541,0.000,0.000,0.000
0.000,0.204,0.678,0.969,1.000,1.000,0.490,0.000,0.000,0.000
0.000,0.047,0.000,0.537,1.000,1.000,0.502,0.000,0.000,0.000
0.008,0.000,0.000,0.467,1.000,1.000,0.553,0.000,0.000,0.000
0.000,0.000,0.000,0.498,1.000,1.000,0.565,0.000,0.000,0.000
0.000,0.000,0.000,0.439,0.945,1.000,0.616,0.161,0.000,0.000
0.000,0.004,0.000,0.267,0.655,0.992,0.737,0.333,0.000,0.000
