0.004,0.000,0.400,0.659,0.651,0.000,0.000,0.000,0.039,0.000
0.000,0.000,0.620,0.965,0.945,0.890,0.733,0.412,0.000,0.000
0.000,0.000,0.714,1.000,0.886,0.839,0.867,0.561,0.000,0.000
0.000,0.000,0.725,0.945,0.494,0.529,0.839,0.616,0.000,0.004
0.000,0.000,0.714,0.882,0.169,0.647,0.918,0.647,0.000,0.000
0.000,0.000,0.533,0.906,0.965,0.537,0.878,0.663,0.000,0.012
0.000,0.000,0.227,0.431,0.518,0.184,0.498,0.608,0.467,0.000
0.000,0.051,0.000,0.000,0.000,0.212,0.667,0.659,0.373,0.000
0.000,0.000,0.149,0.263,0.361,0.565,0.804,0.573,0.000,0.000
0.000,0.000,0.318,0.584,0.729,0.800,0.369,0.000,0.000,0.008
