0.000,0.000,0.008,0.000,0.145,0.624,0.322,0.000,0.000,0.000
0.000,0.004,0.000,0.102,0.278,0.490,0.243,0.000,0.000,0.004
0.000,0.016,0.000,0.286,0.592,0.392,0.141,0.000,0.000,0.012
0.008,0.000,0.000,0.451,0.839,0.322,0.196,0.231,0.192,0.000
0.000,0.000,0.247,0.627,0.886,0.165,0.447,0.525,0.345,0.000
0.000,0.000,0.718,0.925,0.502,0.000,0.847,0.757,0.129,0.000
0.000,0.000,0.710,1.000,0.914,0.631,0.988,0.749,0.000,0.000
0.000,0.000,0.427,0.671,0.737,0.859,0.871,0.545,0.000,0.008
0.008,0.035,0.000,0.000,0.106,0.933,0.635,0.212,0.000,0.004
0.000,0.000,0.000,0.000,0.263,0.988,0.537,0.000,0.000,0.000
